Date,Open,High,Low,Close,Adj Close,Volume
2020-10-08,3.060000,3.060000,3.060000,3.060000,3.060000,0
2020-10-09,3.080000,3.080000,2.950000,3.060000,3.060000,1300
2020-10-12,3.090000,3.200000,3.090000,3.200000,3.200000,800
2020-10-13,3.070000,3.070000,3.020000,3.020000,3.020000,800
2020-10-14,3.140000,3.140000,3.140000,3.140000,3.140000,200
2020-10-15,3.120000,3.120000,3.070000,3.070000,3.070000,500
2020-10-16,3.150000,3.150000,3.150000,3.150000,3.150000,800
2020-10-19,3.150000,3.150000,3.150000,3.150000,3.150000,100
2020-10-20,3.200000,3.200000,3.120000,3.160000,3.160000,13800
2020-10-21,3.220000,3.220000,3.140000,3.140000,3.140000,1600
2020-10-22,3.140000,3.140000,3.140000,3.140000,3.140000,100
2020-10-23,3.130000,3.130000,3.110000,3.110000,3.110000,2100
2020-10-26,3.030000,3.180000,3.030000,3.180000,3.180000,3600
2020-10-27,3.200000,3.200000,3.200000,3.200000,3.200000,200
2020-10-28,3.200000,3.200000,3.100000,3.140000,3.140000,3000
2020-10-29,3.140000,3.140000,3.140000,3.140000,3.140000,0
2020-10-30,3.100000,3.140000,3.100000,3.140000,3.140000,7400
2020-11-02,3.140000,3.140000,3.140000,3.140000,3.140000,0
2020-11-03,3.150000,3.200000,3.140000,3.200000,3.200000,1900
2020-11-04,3.200000,3.200000,3.200000,3.200000,3.200000,500
2020-11-05,3.200000,3.270000,3.200000,3.220000,3.220000,2600
2020-11-06,3.500000,3.500000,3.500000,3.500000,3.500000,200
2020-11-09,3.440000,3.700000,3.440000,3.700000,3.700000,23600
2020-11-10,3.680000,3.680000,3.540000,3.580000,3.580000,1600
2020-11-11,3.500000,3.560000,3.500000,3.560000,3.560000,9700
2020-11-12,3.480000,3.480000,3.480000,3.480000,3.480000,1100
2020-11-13,3.490000,3.650000,3.450000,3.520000,3.520000,6400
2020-11-16,3.650000,3.650000,3.600000,3.650000,3.650000,3800
2020-11-17,3.540000,3.680000,3.540000,3.680000,3.680000,3600
2020-11-18,3.680000,3.700000,3.680000,3.680000,3.680000,11000
2020-11-19,3.650000,3.650000,3.590000,3.620000,3.620000,7700
2020-11-20,3.610000,3.670000,3.610000,3.650000,3.650000,1000
2020-11-23,3.650000,3.650000,3.640000,3.640000,3.640000,300
2020-11-24,3.630000,3.630000,3.610000,3.630000,3.630000,30000
2020-11-25,3.600000,3.650000,3.600000,3.600000,3.600000,1100
2020-11-27,3.660000,3.660000,3.560000,3.560000,3.560000,1500
2020-11-30,3.480000,3.480000,3.480000,3.480000,3.480000,300
2020-12-01,3.400000,3.410000,3.400000,3.410000,3.410000,500
2020-12-02,3.470000,3.470000,3.380000,3.380000,3.380000,900
2020-12-03,3.500000,3.500000,3.440000,3.490000,3.490000,2000
2020-12-04,3.370000,3.570000,3.370000,3.470000,3.470000,14900
2020-12-07,3.380000,3.480000,3.380000,3.480000,3.480000,1100
2020-12-08,3.370000,3.540000,3.370000,3.400000,3.400000,1200
2020-12-09,3.460000,3.460000,3.460000,3.460000,3.460000,100
2020-12-10,3.460000,3.460000,3.460000,3.460000,3.460000,2300
2020-12-11,3.550000,3.550000,3.550000,3.550000,3.550000,200
2020-12-14,3.580000,3.690000,3.580000,3.680000,3.680000,1700
2020-12-15,3.700000,3.710000,3.660000,3.710000,3.710000,3500
2020-12-16,3.700000,3.700000,3.700000,3.700000,3.700000,23100
2020-12-17,3.910000,3.930000,3.870000,3.930000,3.930000,2100
2020-12-18,3.970000,3.970000,3.880000,3.900000,3.900000,3900
2020-12-21,3.830000,3.830000,3.830000,3.830000,3.830000,1500
2020-12-22,3.830000,3.940000,3.820000,3.940000,3.940000,2400
2020-12-23,4.010000,4.040000,3.880000,3.880000,3.880000,1400
2020-12-24,3.880000,3.880000,3.880000,3.880000,3.880000,0
2020-12-28,3.900000,3.900000,3.900000,3.900000,3.900000,500
2020-12-29,3.950000,3.950000,3.910000,3.910000,3.910000,2600
2020-12-30,3.900000,3.900000,3.830000,3.880000,3.880000,1200
2020-12-31,3.940000,3.960000,3.930000,3.960000,3.960000,1100
2021-01-04,4.050000,4.050000,3.850000,3.900000,3.900000,2200
2021-01-05,3.980000,3.980000,3.970000,3.970000,3.970000,2800
2021-01-06,3.970000,3.970000,3.970000,3.970000,3.970000,0
2021-01-07,3.730000,3.850000,3.730000,3.800000,3.800000,72500
2021-01-08,3.860000,3.890000,3.810000,3.880000,3.880000,19200
2021-01-11,3.800000,3.820000,3.790000,3.820000,3.820000,900
2021-01-12,3.920000,3.920000,3.860000,3.860000,3.860000,1800
2021-01-13,3.960000,3.960000,3.920000,3.920000,3.920000,300
